"No","year","month","day","hour","PM2.5","PM10","SO2","NO2","CO","O3","TEMP","PRES","DEWP","RAIN","wd","WSPM","station"
1,2013,3,1,0,9,9,3,17,300,89,-0.5,1024.5,-21.4,0,"NNW",5.7,"Dongsi"
2,2013,3,1,1,4,4,3,16,300,88,-0.7,1025.1,-22.1,0,"NW",3.9,"Dongsi"
3,2013,3,1,2,7,7,NA,17,300,60,-1.2,1025.3,-24.6,0,"NNW",5.3,"Dongsi"
4,2013,3,1,3,3,3,5,18,NA,NA,-1.4,1026.2,-25.5,0,"N",4.9,"Dongsi"
5,2013,3,1,4,3,3,7,NA,200,84,-1.9,1027.1,-24.5,0,"NNW",3.2,"Dongsi"
6,2013,3,1,5,4,4,9,25,300,78,-2.4,1027.5,-21.3,0,"NW",2.4,"Dongsi"
7,2013,3,1,6,5,5,10,29,400,67,-2.5,1028.2,-20.4,0,"NW",2.2,"Dongsi"
8,2013,3,1,7,3,6,12,40,400,52,-1.4,1029.5,-20.4,0,"NNW",3,"Dongsi"
9,2013,3,1,8,3,6,12,41,500,54,-0.3,1030.4,-21.2,0,"NW",4.6,"Dongsi"
10,2013,3,1,9,3,6,9,31,400,69,0.4,1030.5,-23.3,0,"N",5.5,"Dongsi"
11,2013,3,1,10,3,6,7,19,300,82,1.4,1030.2,-22.5,0,"N",5.2,"Dongsi"
12,2013,3,1,11,6,6,7,19,400,83,2.9,1029.8,-22.9,0,"NNW",5.3,"Dongsi"
13,2013,3,1,12,3,6,6,18,300,86,4,1028.6,-21.2,0,"W",4.6,"Dongsi"
14,2013,3,1,13,3,6,5,16,300,91,5,1027.8,-21.2,0,"NW",4.5,"Dongsi"
15,2013,3,1,14,3,6,5,16,300,92,6.2,1027.6,-22.2,0,"NW",4,"Dongsi"
16,2013,3,1,15,3,10,5,17,300,92,6,1027.7,-21.3,0,"NNW",2.1,"Dongsi"
17,2013,3,1,16,9,17,6,19,300,91,5.6,1027.7,-20.7,0,"N",1.8,"Dongsi"
18,2013,3,1,17,9,22,9,21,400,87,4.4,1028.2,-20.9,0,"N",3.5,"Dongsi"
19,2013,3,1,18,11,23,8,28,400,79,3.2,1029.4,-20.3,0,"NNW",0.5,"Dongsi"
20,2013,3,1,19,13,17,12,42,600,63,3,1030.1,-19.7,0,"N",1.1,"Dongsi"
21,2013,3,1,20,5,13,9,38,500,64,1.6,1031.3,-19,0,"ENE",1.2,"Dongsi"
22,2013,3,1,21,15,17,13,51,600,48,0.8,1032.4,-19.7,0,"NE",1,"Dongsi"
23,2013,3,1,22,19,21,17,60,700,36,0.1,1032.9,-19.2,0,"ENE",1.8,"Dongsi"
24,2013,3,1,23,8,14,16,58,600,39,-0.5,1032.8,-19.7,0,"NE",2.1,"Dongsi"
25,2013,3,2,0,4,11,11,45,500,52,-0.7,1033,-18.3,0,"E",0.6,"Dongsi"
26,2013,3,2,1,3,6,11,43,500,53,-1.6,1033.2,-17.4,0,"ENE",0,"Dongsi"
