"No","year","month","day","hour","PM2.5","PM10","SO2","NO2","CO","O3","TEMP","PRES","DEWP","RAIN","wd","WSPM","station"
1,2013,3,1,0,4,4,14,20,300,69,-0.7,1023,-18.8,0,"NNW",4.4,"Guanyuan"
2,2013,3,1,1,4,4,13,17,300,72,-1.1,1023.2,-18.2,0,"N",4.7,"Guanyuan"
3,2013,3,1,2,3,3,10,19,300,69,-1.1,1023.5,-18.2,0,"NNW",5.6,"Guanyuan"
4,2013,3,1,3,3,6,7,24,400,62,-1.4,1024.5,-19.4,0,"NW",3.1,"Guanyuan"
5,2013,3,1,4,3,6,5,14,400,71,-2,1025.2,-19.5,0,"N",2,"Guanyuan"
6,2013,3,1,5,3,6,6,14,400,71,-2.2,1025.6,-19.6,0,"N",3.7,"Guanyuan"
7,2013,3,1,6,6,6,6,20,400,66,-2.6,1026.5,-19.1,0,"NNE",2.5,"Guanyuan"
8,2013,3,1,7,3,3,7,26,400,61,-1.6,1027.4,-19.1,0,"NNW",3.8,"Guanyuan"
9,2013,3,1,8,3,6,9,37,500,50,0.1,1028.3,-19.2,0,"NNW",4.1,"Guanyuan"
10,2013,3,1,9,7,11,9,30,400,58,1.2,1028.5,-19.3,0,"N",2.6,"Guanyuan"
11,2013,3,1,10,3,8,11,26,400,65,1.9,1028.2,-19.4,0,"NNW",3.6,"Guanyuan"
12,2013,3,1,11,3,6,8,23,300,70,2.9,1028.2,-20.5,0,"N",3.7,"Guanyuan"
13,2013,3,1,12,7,14,6,23,300,73,3.9,1027.3,-19.7,0,"NNW",5.1,"Guanyuan"
14,2013,3,1,13,12,14,4,20,300,78,5.3,1026.2,-19.3,0,"NW",4.3,"Guanyuan"
15,2013,3,1,14,14,16,4,21,300,79,6,1025.9,-19.6,0,"NW",4.4,"Guanyuan"
16,2013,3,1,15,12,21,3,21,300,79,6.2,1025.7,-18.6,0,"NNE",2.8,"Guanyuan"
17,2013,3,1,16,13,22,5,21,300,78,5.9,1025.6,-18.1,0,"NNW",3.9,"Guanyuan"
