"No","year","month","day","hour","PM2.5","PM10","SO2","NO2","CO","O3","TEMP","PRES","DEWP","RAIN","wd","WSPM","station"
1,2013,3,1,0,5,14,4,12,200,85,-0.5,1024.5,-21.4,0,"NNW",5.7,"Nongzhanguan"
2,2013,3,1,1,8,12,6,14,200,84,-0.7,1025.1,-22.1,0,"NW",3.9,"Nongzhanguan"
3,2013,3,1,2,3,6,5,14,200,83,-1.2,1025.3,-24.6,0,"NNW",5.3,"Nongzhanguan"
4,2013,3,1,3,5,5,5,14,200,84,-1.4,1026.2,-25.5,0,"N",4.9,"Nongzhanguan"
5,2013,3,1,4,5,5,6,21,200,77,-1.9,1027.1,-24.5,0,"NNW",3.2,"Nongzhanguan"
6,2013,3,1,5,3,3,13,21,300,77,-2.4,1027.5,-21.3,0,"NW",2.4,"Nongzhanguan"
7,2013,3,1,6,4,4,15,32,300,62,-2.5,1028.2,-20.4,0,"NW",2.2,"Nongzhanguan"
8,2013,3,1,7,3,7,14,45,400,48,-1.4,1029.5,-20.4,0,"NNW",3,"Nongzhanguan"
9,2013,3,1,8,3,6,13,49,400,46,-0.3,1030.4,-21.2,0,"NW",4.6,"Nongzhanguan"
10,2013,3,1,9,11,14,9,28,400,68,0.4,1030.5,-23.3,0,"N",5.5,"Nongzhanguan"
11,2013,3,1,10,3,7,6,20,300,77,1.4,1030.2,-22.5,0,"N",5.2,"Nongzhanguan"
12,2013,3,1,11,3,6,6,19,300,81,2.9,1029.8,-22.9,0,"NNW",5.3,"Nongzhanguan"
13,2013,3,1,12,3,6,4,17,300,86,4,1028.6,-21.2,0,"W",4.6,"Nongzhanguan"
14,2013,3,1,13,3,6,4,17,300,87,5,1027.8,-21.2,0,"NW",4.5,"Nongzhanguan"
15,2013,3,1,14,6,11,4,19,300,86,6.2,1027.6,-22.2,0,"NW",4,"Nongzhanguan"
16,2013,3,1,15,5,13,4,18,300,89,6,1027.7,-21.3,0,"NNW",2.1,"Nongzhanguan"
