"No","year","month","day","hour","PM2.5","PM10","SO2","NO2","CO","O3","TEMP","PRES","DEWP","RAIN","wd","WSPM","station"
1,2013,3,1,0,8,8,6,28,400,52,-0.7,1023,-18.8,0,"NNW",4.4,"Wanliu"
2,2013,3,1,1,9,9,6,28,400,50,-1.1,1023.2,-18.2,0,"N",4.7,"Wanliu"
3,2013,3,1,2,3,6,NA,19,400,55,-1.1,1023.5,-18.2,0,"NNW",5.6,"Wanliu"
4,2013,3,1,3,11,30,8,14,NA,NA,-1.4,1024.5,-19.4,0,"NW",3.1,"Wanliu"
5,2013,3,1,4,3,13,9,NA,300,54,-2,1025.2,-19.5,0,"N",2,"Wanliu"
6,2013,3,1,5,3,6,8,17,300,54,-2.2,1025.6,-19.6,0,"N",3.7,"Wanliu"
7,2013,3,1,6,3,3,10,21,300,52,-2.6,1026.5,-19.1,0,"NNE",2.5,"Wanliu"
8,2013,3,1,7,3,6,11,26,300,47,-1.6,1027.4,-19.1,0,"NNW",3.8,"Wanliu"
9,2013,3,1,8,7,10,14,39,400,36,0.1,1028.3,-19.2,0,"NNW",4.1,"Wanliu"
10,2013,3,1,9,3,9,12,31,400,46,1.2,1028.5,-19.3,0,"N",2.6,"Wanliu"
11,2013,3,1,10,3,8,12,30,400,49,1.9,1028.2,-19.4,0,"NNW",3.6,"Wanliu"
12,2013,3,1,11,3,6,10,26,300,54,2.9,1028.2,-20.5,0,"N",3.7,"Wanliu"
13,2013,3,1,12,6,9,11,22,300,57,3.9,1027.3,-19.7,0,"NNW",5.1,"Wanliu"
14,2013,3,1,13,10,18,10,20,300,60,5.3,1026.2,-19.3,0,"NW",4.3,"Wanliu"
15,2013,3,1,14,10,15,10,22,300,60,6,1025.9,-19.6,0,"NW",4.4,"Wanliu"
16,2013,3,1,15,7,15,9,22,300,61,6.2,1025.7,-18.6,0,"NNE",2.8,"Wanliu"
17,2013,3,1,16,12,22,10,25,300,59,5.9,1025.6,-18.1,0,"NNW",3.9,"Wanliu"
18,2013,3,1,17,13,23,10,26,300,58,4.3,1026.3,-18.7,0,"NNE",2.8,"Wanliu"
