"No","year","month","day","hour","PM2.5","PM10","SO2","NO2","CO","O3","TEMP","PRES","DEWP","RAIN","wd","WSPM","station"
1,2013,3,1,0,9,9,6,17,200,62,0.3,1021.9,-19,0,"WNW",2,"Wanshouxigong"
2,2013,3,1,1,11,11,7,14,200,66,-0.1,1022.4,-19.3,0,"WNW",4.4,"Wanshouxigong"
3,2013,3,1,2,8,8,NA,16,200,59,-0.6,1022.6,-19.7,0,"WNW",4.7,"Wanshouxigong"
4,2013,3,1,3,8,8,3,16,NA,NA,-0.7,1023.5,-20.9,0,"NW",2.6,"Wanshouxigong"
5,2013,3,1,4,8,8,3,NA,300,36,-0.9,1024.1,-21.7,0,"WNW",2.5,"Wanshouxigong"
6,2013,3,1,5,10,10,4,8,200,64,-1.6,1024.7,-21.1,0,"NE",2,"Wanshouxigong"
7,2013,3,1,6,8,8,6,13,300,61,-2.4,1025.4,-20.3,0,"NE",2.3,"Wanshouxigong"
8,2013,3,1,7,8,8,8,20,300,54,-0.8,1026.7,-19.9,0,"NNE",2,"Wanshouxigong"
9,2013,3,1,8,3,6,9,23,300,50,0.4,1027.3,-19.4,0,"NE",2.7,"Wanshouxigong"
10,2013,3,1,9,3,6,10,18,300,56,1.5,1027.4,-19.7,0,"ENE",2.9,"Wanshouxigong"
11,2013,3,1,10,3,6,11,15,300,61,2.1,1027.3,-21.2,0,"NNE",4.8,"Wanshouxigong"
12,2013,3,1,11,3,6,9,14,300,62,3.1,1027.2,-21.1,0,"N",4.1,"Wanshouxigong"
13,2013,3,1,12,3,6,8,10,300,67,4.7,1026.3,-20.6,0,"ESE",1.6,"Wanshouxigong"
14,2013,3,1,13,3,9,7,9,300,70,5.5,1025.2,-20,0,"NE",3.1,"Wanshouxigong"
15,2013,3,1,14,3,14,7,8,300,72,6.6,1024.9,-19.9,0,"NW",2.1,"Wanshouxigong"
16,2013,3,1,15,12,14,5,7,200,73,6.1,1024.7,-19.5,0,"NE",2.4,"Wanshouxigong"
17,2013,3,1,16,11,17,7,9,300,72,5.9,1024.7,-18.8,0,"N",3.3,"Wanshouxigong"
18,2013,3,1,17,13,18,8,14,300,67,5.3,1025.3,-19.3,0,"NNW",2,"Wanshouxigong"
19,2013,3,1,18,10,18,9,20,400,58,4.1,1026.4,-19.5,0,"NNE",2.2,"Wanshouxigong"
20,2013,3,1,19,10,16,7,29,500,50,3.2,1027.2,-18.9,0,"NE",2.1,"Wanshouxigong"
21,2013,3,1,20,11,12,6,29,500,47,2.6,1028.2,-18.8,0,"NE",1.9,"Wanshouxigong"
22,2013,3,1,21,10,12,6,31,500,44,2.2,1029.2,-17.9,0,"ENE",1.1,"Wanshouxigong"
23,2013,3,1,22,10,13,11,39,500,34,2,1029.5,-18.1,0,"ENE",2,"Wanshouxigong"
24,2013,3,1,23,15,15,14,41,500,31,1,1029.6,-18.4,0,"ENE",1.8,"Wanshouxigong"
25,2013,3,2,0,5,10,11,35,400,39,0.5,1030.2,-18.3,0,"ENE",1.4,"Wanshouxigong"
26,2013,3,2,1,3,8,9,33,400,40,-0.3,1030.2,-17.5,0,"E",1,"Wanshouxigong"
27,2013,3,2,2,3,6,9,29,300,44,-1.2,1029.6,-17,0,"E",0.8,"Wanshouxigong"
28,2013,3,2,3,3,6,9,29,400,43,-2.9,1029.7,-14.9,0,"N",0.1,"Wanshouxigong"
29,2013,3,2,4,3,6,8,30,400,41,-2.4,1029.8,-15.5,0,"N",0.2,"Wanshouxigong"
30,2013,3,2,5,8,8,6,15,300,57,-1.2,1029.2,-17.9,0,"NNE",1,"Wanshouxigong"
31,2013,3,2,6,8,8,10,31,400,37,-1.2,1028.5,-17.9,0,"WNW",1.5,"Wanshouxigong"
32,2013,3,2,7,3,6,16,61,600,8,-1.1,1029.2,-16.1,0,"WSW",1.2,"Wanshouxigong"
33,2013,3,2,8,4,7,17,53,500,17,0,1028.8,-16.8,0,"W",1.3,"Wanshouxigong"
34,2013,3,2,9,4,11,17,50,500,23,1.1,1028.9,-16.8,0,"SW",1,"Wanshouxigong"
35,2013,3,2,10,5,14,22,52,600,20,1.9,1028.4,-17.1,0,"SW",2,"Wanshouxigong"
36,2013,3,2,11,13,18,20,61,1000,15,2.5,1027.5,-17.7,0,"SW",2.1,"Wanshouxigong"
37,2013,3,2,12,17,25,19,47,700,29,3.3,1026.2,-17.6,0,"SSW",1.8,"Wanshouxigong"
38,2013,3,2,13,24,28,18,35,600,43,4.2,1024.8,-16.8,0,"SE",1,"Wanshouxigong"
39,2013,3,2,14,18,27,23,36,800,44,4.1,1024.1,-16.3,0,"SSW",1.3,"Wanshouxigong"
40,2013,3,2,15,34,37,44,43,1100,40,3.9,1023.5,-15.9,0,"SSW",1.9,"Wanshouxigong"
41,2013,3,2,16,42,56,46,44,1100,38,3.8,1022.8,-15,0,"SSW",1,"Wanshouxigong"
42,2013,3,2,17,56,68,48,46,1100,37,3.1,1022.7,-14.1,0,"S",1.1,"Wanshouxigong"
43,2013,3,2,18,56,80,51,52,1100,31,2.6,1022.5,-13.7,0,"S",1.3,"Wanshouxigong"
44,2013,3,2,19,64,88,53,67,1300,14,0.6,1022.2,-12.8,0,"SSW",0.5,"Wanshouxigong"
45,2013,3,2,20,72,96,63,83,1600,2,-0.2,1022.3,-11,0,"W",1.1,"Wanshouxigong"
46,2013,3,2,21,88,118,72,91,1800,2,-0.1,1021.8,-10.9,0,"N",0.2,"Wanshouxigong"
47,2013,3,2,22,101,125,82,93,2000,2,-2.4,1021.3,-11.7,0,"SSW",0.6,"Wanshouxigong"
48,2013,3,2,23,108,127,70,92,2100,2,-2.3,1020.3,-12.1,0,"N",0.1,"Wanshouxigong"
49,2013,3,3,0,101,108,56,92,2100,2,-0.6,1019.4,-14.2,0,"NE",1.3,"Wanshouxigong"
50,2013,3,3,1,77,93,62,94,2299,2,-0.1,1018.7,-14.5,0,"NNE",1.4,"Wanshouxigong"
51,2013,3,3,2,97,109,68,92,2600,2,-2.8,1017.3,-13.4,0,"W",0.6,"Wanshouxigong"
52,2013,3,3,3,107,120,75,89,2700,2,-4.4,1016.6,-11.7,0,"SSW",0.4,"Wanshouxigong"
53,2013,3,3,4,107,118,76,89,2799,2,-5.1,1015.9,-11.5,0,"WSW",0.7,"Wanshouxigong"
54,2013,3,3,5,104,109,65,86,2000,2,-5.3,1015.7,-11.2,0,"WSW",1,"Wanshouxigong"
55,2013,3,3,6,87,94,60,86,2000,2,-5.8,1015.6,-11.1,0,"W",1,"Wanshouxigong"
56,2013,3,3,7,86,95,69,86,2000,2,-3.2,1015.8,-10.3,0,"NNW",0.6,"Wanshouxigong"
57,2013,3,3,8,84,101,73,86,2399,2,1.7,1015.1,-12.5,0,"ESE",0.6,"Wanshouxigong"
58,2013,3,3,9,88,119,83,91,2799,2,3.8,1015,-12.6,0,"N",0.5,"Wanshouxigong"
59,2013,3,3,10,91,127,84,95,2600,2,7.2,1014.1,-12.1,0,"SSW",0.8,"Wanshouxigong"
60,2013,3,3,11,93,129,88,102,2600,4,11.1,1012.8,-11.7,0,"SSW",2.3,"Wanshouxigong"
61,2013,3,3,12,101,143,79,115,3000,6,12.7,1011.9,-12.5,0,"S",1.9,"Wanshouxigong"
62,2013,3,3,13,110,152,54,92,2000,18,13.7,1010.6,-11.7,0,"S",2.3,"Wanshouxigong"
63,2013,3,3,14,92,143,52,86,1800,35,14.7,1010.2,-12.6,0,"SW",2.3,"Wanshouxigong"
64,2013,3,3,15,114,169,43,58,1300,55,15,1009.6,-12.3,0,"WSW",2.8,"Wanshouxigong"
65,2013,3,3,16,95,146,29,46,1000,60,13.6,1009.8,-9.6,0,"WSW",3.2,"Wanshouxigong"
66,2013,3,3,17,77,130,36,57,1000,50,11.6,1010.4,-8.9,0,"WSW",1.5,"Wanshouxigong"
67,2013,3,3,18,84,159,65,102,1600,16,8.6,1011.4,-8,0,"WNW",1.3,"Wanshouxigong"
68,2013,3,3,19,123,225,66,116,1800,2,9.6,1012.4,-12.3,0,"WNW",2.9,"Wanshouxigong"
69,2013,3,3,20,150,242,69,120,2200,2,12.1,1012.6,-13,0,"W",0.8,"Wanshouxigong"
70,2013,3,3,21,147,191,23,80,1100,2,5.1,1012.8,-12.4,0,"N",0.2,"Wanshouxigong"
71,2013,3,3,22,62,68,14,73,800,2,3.5,1012.9,-10.9,0,"WSW",1,"Wanshouxigong"
72,2013,3,3,23,27,41,20,89,1600,2,9.6,1013.8,-11.7,0,"NE",1.9,"Wanshouxigong"
73,2013,3,4,0,33,46,21,85,2000,2,9.6,1014.8,-11.7,0,"NNE",2.6,"Wanshouxigong"
74,2013,3,4,1,31,36,31,73,1200,2,8.8,1015.6,-11.8,0,"NE",2.1,"Wanshouxigong"
75,2013,3,4,2,23,31,10,25,500,44,7.8,1016.1,-11.6,0,"NE",2.1,"Wanshouxigong"
76,2013,3,4,3,10,27,5,17,400,56,7.6,1015.9,-11.7,0,"NNE",2.8,"Wanshouxigong"
77,2013,3,4,4,8,16,12,32,500,37,4.8,1016.8,-12.2,0,"NE",0.4,"Wanshouxigong"
78,2013,3,4,5,9,22,15,23,400,44,1.9,1017.4,-11.6,0,"E",1,"Wanshouxigong"
79,2013,3,4,6,4,24,18,32,600,33,1,1018.1,-10.5,0,"NW",0,"Wanshouxigong"
80,2013,3,4,7,8,22,22,53,900,11,6.6,1019,-11.1,0,"SW",0.8,"Wanshouxigong"
81,2013,3,4,8,9,28,32,61,1100,8,9,1019.8,-11.1,0,"NE",2,"Wanshouxigong"
82,2013,3,4,9,12,29,22,37,600,36,10.7,1019.8,-12.7,0,"ENE",2.5,"Wanshouxigong"
83,2013,3,4,10,11,13,15,25,500,51,11.6,1019.7,-12.7,0,"NNE",2.5,"Wanshouxigong"
84,2013,3,4,11,12,14,11,19,400,60,13.1,1019,-13,0,"NE",1.4,"Wanshouxigong"
85,2013,3,4,12,15,16,12,19,400,63,14.3,1018.1,-12.9,0,"SE",0.8,"Wanshouxigong"
86,2013,3,4,13,13,16,11,18,400,67,14.5,1017,-13.7,0,"E",1.3,"Wanshouxigong"
87,2013,3,4,14,8,13,9,20,400,69,15.8,1016.1,-12.6,0,"SW",2.5,"Wanshouxigong"
88,2013,3,4,15,10,15,11,25,400,67,15.1,1015.4,-14.2,0,"S",2,"Wanshouxigong"
89,2013,3,4,16,12,18,10,28,400,75,14.6,1015,-13.6,0,"SSW",2.3,"Wanshouxigong"
90,2013,3,4,17,23,26,8,28,500,87,12.8,1015.2,-11.7,0,"WSW",2.9,"Wanshouxigong"
91,2013,3,4,18,29,38,13,43,500,63,11.2,1015.7,-11.6,0,"WSW",2.3,"Wanshouxigong"
92,2013,3,4,19,32,66,16,65,700,32,9.5,1015.9,-10.6,0,"SSW",1.5,"Wanshouxigong"
93,2013,3,4,20,40,92,25,78,1100,14,7.8,1016.1,-10.6,0,"WSW",0.6,"Wanshouxigong"
94,2013,3,4,21,56,104,38,88,1399,4,6.9,1016.3,-10.4,0,"S",2.2,"Wanshouxigong"
95,2013,3,4,22,71,111,35,83,1399,7,6.6,1016,-10.2,0,"S",1.3,"Wanshouxigong"
96,2013,3,4,23,76,105,52,71,1399,87,4.9,1015,-9.7,0,"W",1.2,"Wanshouxigong"
97,2013,3,5,0,82,106,86,63,1300,87,5,1014.6,-8.9,0,"SW",0.7,"Wanshouxigong"
98,2013,3,5,1,93,124,82,58,1300,87,3.7,1013.9,-8.4,0,"SSE",2.7,"Wanshouxigong"
99,2013,3,5,2,107,138,NA,56,1399,87,2.3,1013.5,-7.9,0,"W",0.9,"Wanshouxigong"
100,2013,3,5,3,114,130,4,59,NA,87,-0.4,1013,-7.7,0,"WSW",1.1,"Wanshouxigong"
